Origin,Year,Patent_Applications,Researchers in R&D (per million people),GDP per Capita (USD),Research and development expenditure (% of GDP),Unemployemnt total (% of total labor force) ,Country Code,gdp_growth,pop_growth,net_flow,edu_exp,stem_graduates
Japan,2015,450923.0,5198.0977,34960.6393843385,3.24071002006531,3.385,JPN,1.56063,-0.10612,101401.0,,
Kazakhstan,2015,1413.0,770.846,10196.1226255982,0.169510006904602,4.93,KAZ,1.2,1.46148,-68276.0,,
Latvia,2015,236.0,1805.3374,13321.9753140616,0.619400024414062,9.873,LVA,3.88526,-0.81863,-545.0,5.717791080474854,20.457079410552975
Lithuania,2015,222.0,2741.4385,14300.2553666736,1.04340994358063,9.12,LTU,2.02458,-0.94075,-6326.0,4.629631996154785,23.10199952125549
Luxembourg,2015,2176.0,4637.839,105462.012584423,1.2522599697113,6.796,LUX,2.26978,2.35995,-6896.0,3.919312000274658,13.826689720153809
Mexico,2015,2468.0,286.9425,10021.2386118827,0.414770007133484,4.311,MEX,2.70232,1.16701,-20150.0,,27.897310018539425
Netherlands,2015,27498.0,4911.1274,45793.8135434697,2.1460599899292,6.872,NLD,1.95917,0.44322,70965.0,6.531548023223877,
Panama,2015,64.0,90.75465,14082.6548502728,0.107450000941753,4.335,PAN,5.73305,1.74124,,,17.24098014831543
Poland,2015,6306.0,2141.1824,12637.5220324406,1.00423002243042,7.475,POL,4.3833,-0.06664,20125.0,5.670897006988525,22.265650510787964
Portugal,2015,1434.0,3724.797,19215.7813014347,1.24329996109009,12.447,PRT,1.79205,-0.41414,4661.0,6.228504180908203,27.905079364776608
Romania,2015,1184.0,874.7279,8977.01748158196,0.487960010766983,6.812,ROU,3.1605,-0.47005,-9227.0,3.133459091186523,28.348490238189694
Russia,2015,31648.0,3109.7632,9277.7138671875,1.10084998607635,5.615,RUS,-1.97272,0.27935,169020.0,4.450333118438721,29.018710851669315
Serbia,2015,230.0,2060.1477,5820.3215576888,0.810899972915649,17.66,SRB,1.80606,-0.49477,-3842.0,,25.876718997955326
Singapore,2015,5861.0,6977.6694,55645.6068614606,2.1744499206543,3.79,SGP,2.9768,1.18638,,,
Slovakia,2015,426.0,2656.8022,16442.0760860018,1.1572699546814,11.492,SVK,5.16718,0.09503,-20639.0,4.794178009033203,21.140299558639526
Spain,2015,8767.0,2636.8477,25969.8383138327,1.22178995609283,22.057,ESP,3.83852,-0.07759,,5.652061939239502,25.37435078620911
Thailand,2015,1389.0,847.0856,5688.85335397884,0.616089999675751,0.597,THA,3.13405,0.4755,,,26.769740581512455
Turkey,2015,6615.0,1205.0807,11049.9951100942,0.967320024967194,10.304,TUR,6.08449,1.33412,26518.0,5.879347801208496,
Ukraine,2015,2771.0,1005.9972,2094.47387695313,0.614769995212555,9.14,UKR,-9.77299,-0.23177,-10625.0,,26.731379747390744
United States,2015,510262.0,3874.7866,57040.2082136605,2.77327990531921,5.28,USA,2.94555,0.73622,826432.0,6.776640892028809,17.367950201034546
Uruguay,2015,97.0,680.01855,17125.9016800298,0.351090013980865,7.488,URY,0.37074,0.32838,,,
Uzbekistan,2015,298.0,501.2326,2803.19018021751,0.164969995617867,5.15,UZB,7.21877,1.74426,-27356.0,,
Argentina,2016,1111.0,1260.701,12699.9623137756,0.558149993419647,8.085,ARG,-2.08033,1.05718,68092.0,,
Austria,2016,11118.0,5401.3037,45061.4993920192,3.11654996871948,6.064,AUT,1.98944,1.0814,52285.49609375,6.061089992523193,30.295060634613034
Belgium,2016,9485.0,4811.195,41854.5498296444,2.52338004112244,7.83,BEL,1.26669,0.5063,46943.0,7.146515846252441,17.05456960201263
Bulgaria,2016,389.0,2198.808,7570.93165511708,0.770089983940125,7.575,BGR,3.02663,-0.70138,-11928.0,,19.66446995735168
Canada,2016,22828.0,4428.173,42314.0615817218,1.72903001308441,7.038,CAN,1.03855,1.13154,138835.0,,21.30081009864807
China,2016,1257754.0,1210.7411,8094.39016735149,2.10033011436462,4.56,CHN,6.84876,0.57305,-729324.0,,
Croatia,2016,239.0,1837.3666,12821.1738140304,0.844330012798309,13.103,HRV,3.6492,-0.69838,-8536.0,,25.293879508972168
Cyprus,2016,273.0,1058.5641,24715.154296875,0.519699990749359,13.006,CYP,6.57358,0.88892,-17711.0,8.306353569030762,15.890729904174803
Czechia,2016,1862.0,3547.2153,18753.9686718096,1.67002999782562,3.952,CZE,2.53728,0.19205,30280.0,6.158538818359375,23.450639963150024
Denmark,2016,8644.0,7873.9688,54500.9260410217,3.09282994270325,5.989,DNK,3.24596,0.78039,28957.0,9.43177890777588,20.463119983673096
Estonia,2016,206.0,3296.2073,18666.3736521706,1.24305999279022,6.882,EST,3.15556,0.02911,-546.0,,27.4605393409729
Finland,2016,9581.0,6543.966,43451.2562442158,2.72442007064819,8.818,FIN,2.81146,0.28742,13017.0,7.455001831054688,29.53127002716064
France,2016,55372.0,4467.428,37024.2157133669,2.22237992286682,10.057,FRA,1.09546,0.26387,154324.0,,25.561129808425903
Georgia,2016,110.0,1391.4246,4143.40125686315,0.280250012874603,16.604,GEO,3.45022,0.05982,-2299.0,,21.703140258789062
Germany,2016,144831.0,4862.625,42961.0356905775,2.94039011001587,4.104,DEU,2.23,0.80722,126439.0,,36.04018020629883
Hungary,2016,1247.0,2624.606,13104.6995457458,1.1798700094223,5.115,HUN,2.201,-0.29511,14520.0,,22.811629772186286
Ireland,2016,4218.0,5184.7153,64292.659966313,1.17716002464294,8.374,IRL,1.76556,1.12883,3163.0,4.065732002258301,25.23178005218506
Italy,2016,25111.0,2222.2085,31126.3246947273,1.36642003059387,11.688,ITA,1.29346,-0.16988,25393.0,4.652362823486328,23.276299834251404
Japan,2016,448578.0,5235.1567,39375.4731620781,3.10665988922119,3.132,JPN,0.75383,-0.05114,111778.0,,
Kazakhstan,2016,1100.0,688.8422,7475.56688689424,0.141790002584457,4.96,KAZ,1.1,1.42205,-77680.0,,26.411980390548703
Latvia,2016,184.0,1589.8147,13838.5266823272,0.435140013694763,9.643,LVA,2.36861,-0.91389,857.0,5.3684401512146,20.51784944534301
Lithuania,2016,180.0,2891.3635,14981.6208126311,0.842410027980804,7.862,LTU,2.51883,-1.27069,-5202.0,4.630980014801025,23.81497931480408
Luxembourg,2016,2643.0,4802.845,106899.293549552,1.26689994335175,6.669,LUX,4.97819,2.15531,-7321.0,,17.895359992980957
Mexico,2016,2342.0,321.8083,9097.92397674769,0.376010000705719,3.853,MEX,1.77249,1.13323,-20547.0,,25.482860922813416
Netherlands,2016,28139.0,5128.7715,46808.5291492503,2.15081000328064,6.007,NLD,2.19171,0.53218,72884.0,6.638936996459961,
Panama,2016,110.0,96.95523,14832.3611608191,0.132400006055832,4.717,PAN,4.95321,1.73456,,,15.42652952671051
Poland,2016,5521.0,2288.0818,12464.0110508476,0.968209981918335,6.141,POL,2.95351,-0.04299,30500.0,5.456776142120361,22.85763955116272
Portugal,2016,1456.0,3995.6255,19980.2808866516,1.28075003623962,11.068,PRT,2.01949,-0.31546,,,29.02334046363831
Romania,2016,1209.0,908.9898,9404.54005870715,0.488640010356903,5.901,ROU,2.85755,-0.57366,-8126.0,3.058454990386963,28.771299839019775
Russia,2016,29373.0,2959.9658,8663.158203125,1.10238003730774,5.591,RUS,0.19369,0.25875,186444.0,,30.898499250411984
Serbia,2016,263.0,2121.8923,5982.37030126471,0.838220000267029,15.257,SRB,3.33859,-0.52369,-4313.0,,25.909069061279297
Singapore,2016,6407.0,6897.0444,56899.9181805173,2.07276010513306,4.08,SGP,3.58864,1.29744,27824.0,,34.50148057937622
Slovakia,2016,374.0,2607.2012,16636.0769133073,0.788569986820221,9.679,SVK,1.94395,0.12892,-21895.0,4.823051929473877,
Spain,2016,8709.0,2727.4287,26740.6851818829,1.18985998630524,19.635,ESP,3.03777,0.08443,11681.0,5.576904773712158,23.88038992881775
Thailand,2016,1586.0,1183.1427,5833.57715617098,0.778289973735809,0.688,THA,3.43516,0.44377,580.0,,27.855010509490963
Turkey,2016,7583.0,1246.8931,10970.0458948862,1.11978995800018,10.899,TUR,3.32308,1.34543,42353.0,,
Ukraine,2016,2613.0,1037.2408,2158.46118164063,0.483390003442764,9.35,UKR,2.44098,-0.28627,-23278.0,,26.653570413589474
United States,2016,500653.0,3830.4626,58206.6141931844,2.8367600440979,4.869,USA,1.81945,0.72468,887178.0,6.653775215148926,17.920220136642456
Uruguay,2016,70.0,731.9573,17009.7586944503,0.373910009860992,7.841,URY,1.6898,0.32122,,,
Uzbekistan,2016,370.0,509.89435,2753.37951427589,0.172380000352859,5.16,UZB,5.93215,1.73885,-32184.0,,32.10533046722412
Argentina,2017,742.0,1212.4573,14532.5009308511,0.556309998035431,8.347,ARG,2.8185,1.03713,80450.0,,
Austria,2017,10797.0,5416.8936,47163.7425775142,3.05656003952026,5.561,AUT,2.25857,0.69462,54636.34375,6.030921936035156,
Belgium,2017,10008.0,4757.9253,44035.3239358548,2.66666007041931,7.09,BEL,1.61958,0.38523,29943.0,7.10595703125,16.701480269432068
Bulgaria,2017,380.0,2092.0813,8381.88134621669,0.740369975566864,6.164,BGR,2.74593,-0.73044,-11343.0,4.88955020904541,20.513280153274533
Canada,2017,22252.0,4467.1562,45129.628116623,1.68701994419098,6.426,CAN,3.03383,1.19544,160335.0,,
China,2017,1305079.0,1237.742,8817.04560829162,2.11602997779846,4.47,CHN,6.9472,0.60525,-771269.0,,
Croatia,2017,237.0,1856.8119,13902.6310485422,0.841499984264374,11.208,HRV,3.3648,-1.20061,-4916.0,,27.014620780944828
Cyprus,2017,326.0,1209.6368,26696.990234375,0.542590022087097,11.155,CYP,5.73348,0.88448,-14005.0,7.882603168487549,14.972050428390503
Czechia,2017,1885.0,3721.122,20913.197632212,1.76855003833771,2.893,CZE,5.16872,0.26564,31061.0,4.394179821014404,23.861770153045654
Denmark,2017,9462.0,7683.442,57521.5514992225,2.93124008178711,5.833,DNK,2.82174,0.64335,28283.0,7.786785125732422,20.976970195770264
Estonia,2017,212.0,3552.2305,20851.5223496861,1.27684998512268,5.807,EST,5.79204,0.12107,21.5,,28.83993005752563
Finland,2017,9794.0,6731.792,46085.0174739036,2.72786998748779,8.64,FIN,3.19241,0.23467,13198.0,7.021016120910645,27.253450870513916
France,2017,55434.0,4624.697,38687.1626407164,2.1988799571991,9.409,FRA,2.29142,0.2902,163436.0,,
Georgia,2017,94.0,1389.6056,4418.75206546679,0.266449987888336,13.939,GEO,5.1599,0.01339,-3340.0,,21.876179933547974
Germany,2017,143545.0,5087.2544,45526.5999576533,3.04710006713867,3.781,DEU,2.68023,0.37372,135858.0,,35.55346965789795
Hungary,2017,1037.0,2901.0154,14621.2395956755,1.3170200586319,4.156,HUN,4.27198,-0.26586,16229.0,,23.26292037963867
Ireland,2017,4234.0,5155.3706,72499.3268743015,1.24865996837616,6.713,IRL,9.31126,1.08868,4908.0,4.139019966125488,
Italy,2017,25150.0,2336.939,32554.14668453,1.37012994289398,11.211,ITA,1.66786,-0.14986,22701.0,4.686666011810303,
Japan,2017,452623.0,5331.2715,38834.0529341227,3.16635990142822,2.822,JPN,1.67533,-0.08187,132567.0,,
Kazakhstan,2017,1181.0,661.7259,8943.08416791984,0.126670002937317,4.9,KAZ,4.1,1.36038,-71009.0,,23.17789900302887
Latvia,2017,144.0,1772.6136,15132.4958333982,0.511039972305298,8.715,LVA,3.31248,-0.88622,814.0,5.144157886505127,20.874760389328003
Lithuania,2017,165.0,2994.6099,16884.7100319318,0.896260023117065,7.073,LTU,4.2826,-1.39832,-4626.0,4.390049934387207,25.668260335922245
Luxembourg,2017,2721.0,4971.165,110193.213797228,1.23898005485535,5.523,LUX,1.31719,2.43098,-7723.0,3.62360692024231,
Mexico,2017,2419.0,320.14697,9649.27816772402,0.319550007581711,3.419,MEX,1.87173,1.08042,-9119.0,,25.23913049697876
Netherlands,2017,27324.0,5302.3447,49513.6817346384,2.17857003211975,4.837,NLD,2.9109,0.5912,77799.0,6.371410846710205,16.61629056930542
Panama,2017,92.0,105.8816,15694.6297454295,0.135299995541573,5.338,PAN,5.59115,1.71695,,,
Poland,2017,5520.0,2973.766,13913.3402919927,1.03785002231598,4.867,POL,5.14002,0.01248,38764.0,5.363266944885254,22.94082021713257
Portugal,2017,1299.0,4355.7476,21442.3842768879,1.3192800283432,8.869,PRT,3.50635,-0.24389,8072.0,6.279819965362549,29.0936393737793
Romania,2017,1356.0,887.3094,10727.9822007426,0.506929993629456,4.927,ROU,8.19651,-0.57801,-8526.0,3.145265102386475,
Russia,2017,25260.0,2825.5396,10658.9130859375,1.10967004299164,5.238,RUS,1.82579,0.19138,193540.0,,29.961540699005127
Serbia,2017,261.0,2067.7327,6548.03653824187,0.872380018234253,13.477,SRB,2.10116,-0.53219,-4589.0,,26.63771915435791
Singapore,2017,6563.0,6777.637,61162.0973932771,1.899129986763,4.2,SGP,4.51293,0.0886,29478.0,,34.929259300231934
Slovakia,2017,375.0,2801.0732,17645.5298716761,0.884559988975525,8.142,SVK,2.93807,0.15518,-21691.0,,21.172610044479374
Spain,2017,8436.0,2863.7502,28367.9392609439,1.20976996421814,17.224,ESP,2.97576,0.23459,23299.0,5.516026020050049,23.45458960533142
Thailand,2017,1597.0,1320.6305,6413.09182530343,1.00165998935699,0.83,THA,4.17768,0.41153,,,
Turkey,2017,10028.0,1369.346,10695.550196231,1.17631995677948,10.919,TUR,7.502,1.29676,62385.0,,
Ukraine,2017,2710.0,994.07745,2604.28759765625,0.448790013790131,9.5,UKR,2.35997,-0.35027,-25124.0,,24.219289541244503
United States,2017,500402.0,3958.564,60322.2614241747,2.88356995582581,4.355,USA,2.45762,0.63264,898025.625,6.922080993652344,
Uruguay,2017,96.0,749.07947,19184.6626659717,0.440519988536835,7.89,URY,1.74038,0.24675,,,17.454120635986328
Uzbekistan,2017,366.0,499.59238,2190.60411562888,0.148340001702309,5.83,UZB,4.39527,1.68351,-34430.0,,31.510570764541626
Argentina,2018,702.0,1227.4042,11752.7998922979,0.488299995660782,9.22,ARG,-2.6174,1.01581,100690.25,,16.04743981361389
Austria,2018,11280.0,5683.2427,51194.0749841299,3.09182000160217,4.933,AUT,2.42539,0.48707,53628.93359375,5.909671783447266,31.032259464263912
Belgium,2018,10437.0,5032.3677,47487.2100392561,2.86017990112305,5.941,BEL,1.79295,0.45518,38016.0,7.029870986938477,16.989650011062626
Bulgaria,2018,394.0,2310.6191,9436.14479876055,0.754130005836487,5.211,BGR,2.69491,-0.72208,-9924.0,4.840445041656494,19.27680039405823
Canada,2018,22717.0,4758.1025,46539.1761570405,1.73720002174377,5.837,CAN,2.74296,1.43323,176099.3125,,22.375609874725342
China,2018,1460857.0,1319.356,9905.40638304527,2.14057993888855,4.31,CHN,6.74977,0.46767,-819387.0,,
Croatia,2018,183.0,1912.0684,15460.4183295843,0.943120002746582,8.432,HRV,2.98338,-0.89349,-4745.0,,26.333539962768555
Cyprus,2018,310.0,1408.1802,29599.986328125,0.614049971103668,8.504,CYP,5.64766,0.84932,-15228.0,,15.149200201034544
Czechia,2018,1877.0,3911.207,23705.9329811299,1.89906001091003,2.246,CZE,3.22009,0.33443,32434.0,4.849071025848389,26.118070602416992
Denmark,2018,9595.0,7635.7773,61324.7665045565,2.96602988243103,5.131,DNK,1.98954,0.49584,27342.0,8.998735427856445,22.20289039611816
Estonia,2018,219.0,3765.6218,23618.1361254581,1.40998995304108,5.412,EST,3.7842,0.34804,686.0,,27.73243999481201
Finland,2018,8941.0,6872.984,49654.2497035329,2.75748991966248,7.361,FIN,1.13972,0.13264,12385.0,6.968799114227295,28.120239257812504
France,2018,53722.0,4756.584,41418.1766484844,2.19666004180908,9.018,FRA,1.86507,0.35849,129867.0,,25.39432954788208
Georgia,2018,119.0,1553.3062,4804.0546040444,0.275730013847351,12.667,GEO,6.06204,-0.03904,-439.0,,21.237580060958862
Germany,2018,146511.0,5239.9717,48874.8595028454,3.11011004447937,3.384,DEU,0.98123,0.30053,189156.0,,35.3088002204895
Hungary,2018,1109.0,3845.4915,16425.2050299693,1.50775003433228,3.708,HUN,5.36235,-0.12679,19461.0,,22.517239570617676
Ireland,2018,5212.0,4749.617,81248.3135388,1.10697996616364,5.741,IRL,8.4703,1.23888,7301.0,,24.098369598388672
Italy,2018,26099.0,2541.0383,34746.3441392416,1.42443001270294,10.61,ITA,0.92581,-0.19006,30412.0,5.042490005493164,24.19916009902954
Japan,2018,452788.0,5361.966,39751.1330982711,3.21919989585876,2.467,JPN,0.64339,-0.12688,150645.0,,
Kazakhstan,2018,944.0,662.9862,9472.48527327758,0.116829998791218,4.85,KAZ,4.1,1.31452,-73787.0,,24.841419696807858
Latvia,2018,151.0,1776.5039,17252.1710428626,0.638689994812012,7.412,LVA,3.99052,-0.77914,2354.0,4.947052955627441,20.17184019088745
Lithuania,2018,176.0,3092.7454,19368.5391045353,0.936619997024536,6.147,LTU,3.99331,-0.95419,-4108.0,4.345043182373047,26.82267951965332
Luxembourg,2018,2586.0,4756.47,116786.511654677,1.17180001735687,5.589,LUX,1.21932,1.92884,-8223.0,3.821383953094482,18.824880123138428
Mexico,2018,2625.0,317.40692,10084.7937562021,0.29815998673439,3.275,MEX,1.97208,0.95167,-26412.0,,
Netherlands,2018,26578.0,5535.476,53955.0770024266,2.13879990577698,3.832,NLD,2.36092,0.58393,86468.0,6.577950000762939,17.45106029510498
Panama,2018,178.0,107.23832,16151.3273478476,0.133589997887611,5.161,PAN,3.68543,1.67512,,,
Poland,2018,6085.0,3056.7678,15658.2120316794,1.20609998703003,3.835,POL,5.94521,-0.0002,27979.0,5.389081001281738,21.653990030288693
Portugal,2018,1351.0,4627.1724,23541.1401075289,1.3495500087738,6.994,PRT,2.84933,-0.1601,13034.0,5.941359996795654,
Romania,2018,1415.0,875.7624,12502.2624061935,0.49728998541832,4.187,ROU,6.02902,-0.58749,-8434.0,3.345674991607666,
Russia,2018,27689.0,2787.2463,11211.8876953125,0.990019977092743,4.871,RUS,2.80725,0.07214,204841.0,,31.058930397033695
Serbia,2018,269.0,2075.986,7559.86165747394,0.918910026550293,12.733,SRB,4.49512,-0.54635,-4329.0,,28.126240253448486
Singapore,2018,7036.0,6786.696,66840.6373389791,1.80947005748749,3.613,SGP,3.51711,0.4697,28019.0,,34.724881172180176
Slovakia,2018,460.0,3001.4043,19573.3717031314,0.835550010204315,6.544,SVK,4.03039,0.13851,-19852.0,4.768013000488281,22.072549819946296
Spain,2018,7981.0,3003.5627,30592.1264795541,1.24151003360748,15.255,ESP,2.28447,0.43798,28582.0,5.519126892089844,22.26664972305298
Thailand,2018,1653.0,1718.4562,7099.77650081458,1.11373996734619,0.765,THA,4.22287,0.32332,,,
Turkey,2018,8609.0,1530.9047,9568.83506330228,1.27093005180359,10.956,TUR,3.01318,1.3536,77756.0,,19.44188976287842
Ukraine,2018,2454.0,988.07666,3059.0517578125,0.471130013465881,8.799,UKR,3.48836,-0.42463,-28948.0,,25.28447985649109
United States,2018,490409.0,4261.9893,63201.0458483771,2.99044990539551,3.896,USA,2.96651,0.52644,901082.625,6.606420993804932,
Uruguay,2018,122.0,779.43964,19249.9401532664,0.504840016365051,8.336,URY,0.16452,0.14139,,,18.97708034515381
Uzbekistan,2018,479.0,480.43228,1813.08530813664,0.123939998447895,5.389,UZB,5.87974,1.73699,-41644.0,,35.15914011001587
Argentina,2019,774.0,1231.5171,9955.97478680428,0.478130012750626,9.843,ARG,-2.00086,0.9934,107146.0,,
Austria,2019,11144.0,5959.55,49885.9947355204,3.13264989852905,4.56,AUT,1.45053,0.44467,52403.9765625,5.916382789611816,31.396749496459964
Belgium,2019,10191.0,5280.422,46716.6227467964,3.15659999847412,5.364,BEL,2.24084,0.54046,35557.0,6.95636510848999,17.553380250930783
Bulgaria,2019,380.0,2391.0247,9838.60058985384,0.832740008831024,4.23,BGR,4.03519,-0.70391,-8299.0,4.938652038574219,19.815789461135864
Canada,2019,23504.0,4894.2075,46352.8693445211,1.75577998161316,5.69,CAN,1.90843,1.46171,230061.859375,,25.054269790649414
China,2019,1330063.0,1485.8175,10143.8602206165,2.2446300983429,4.56,CHN,5.9505,0.35474,-858847.0,,
Croatia,2019,290.0,2127.9348,15563.8167397199,1.07026994228363,6.617,HRV,3.44274,-0.55415,-4452.0,,27.26621007919312
Cyprus,2019,278.0,1657.7253,29703.052734375,0.709450006484985,7.155,CYP,5.53725,0.81752,-13076.0,7.305327892303467,13.59119963645935
Czechia,2019,1943.0,4033.886,24062.7190013343,1.92734003067017,2.015,CZE,3.02988,0.39379,33981.0,5.113076210021973,25.858839511871334
Denmark,2019,9643.0,7727.2393,59404.2663247723,2.89685010910034,5.018,DNK,1.49349,0.35813,26527.0,8.92148494720459,22.53786039352417
Estonia,2019,230.0,3769.837,24021.2501413306,1.62057995796204,4.514,EST,4.03369,0.37155,1426.0,,27.909550189971924
Finland,2019,8880.0,7246.272,48358.1807773701,2.79960989952087,6.695,FIN,1.22475,0.11019,12453.0,7.120987892150879,28.37906932830811
France,2019,52407.0,4870.456,40408.2848574751,2.19179010391235,8.415,FRA,1.84297,0.34137,143180.0,,25.76940011978149
Georgia,2019,89.0,1799.8718,4741.2832715876,0.281969994306564,11.565,GEO,5.38072,-0.17157,2480.0,,24.55976963043213
Germany,2019,145179.0,5428.2153,47623.8656074829,3.16701006889343,3.163,DEU,1.07547,0.22552,210525.0,,36.781930446624756
Hungary,2019,1132.0,4020.5776,16786.2136399075,1.47291004657745,3.419,HUN,4.86423,-0.04526,22505.0,,23.34687995910645
Ireland,2019,5286.0,4836.074,82508.4659883582,1.16068005561829,4.95,IRL,5.29773,1.36763,9366.0,,25.314370155334473
Italy,2019,25719.0,2688.6467,33812.788724868,1.461590051651,9.951,ITA,0.4832,-1.15303,-25294.0,4.80526876449585,24.477300047874454
Japan,2019,446783.0,5409.5356,40415.9567649547,3.2182400226593,2.351,JPN,-0.40217,-0.14046,170687.0,,
Kazakhstan,2019,1111.2,633.65204,9457.12614657136,0.118409998714924,4.8,KAZ,4.5,1.28961,-66619.0,,24.729339599609375
Latvia,2019,146.0,1885.9038,17294.9751600969,0.638469994068146,6.312,LVA,0.5875,-0.69524,3401.0,5.202261924743652,19.92859959602356
Lithuania,2019,200.0,3364.4673,19727.7607453736,0.992659986019135,6.255,LTU,4.66568,-0.2647,-3772.0,4.362780094146729,27.266190052032467
Luxembourg,2019,2165.0,5092.308,112726.439672814,1.18176996707916,5.592,LUX,2.91585,1.96284,-8651.0,3.900528907775879,18.956520080566406
Mexico,2019,2417.0,335.1387,10369.5553568761,0.276059985160828,3.477,MEX,-0.25134,0.86027,-919.0,,25.83444023132324
Netherlands,2019,26068.0,5640.2456,53554.9007491475,2.18435001373291,3.379,NLD,1.95559,0.65507,88396.0,6.393970012664795,18.577569484710693
Panama,2019,61.0,110.72686,16477.9066285687,0.136240005493164,6.256,PAN,3.28187,1.60229,-1505.0,,16.464209794998165
Poland,2019,5571.0,3136.3904,15874.5220531254,1.32334995269775,3.267,POL,4.44999,-0.02443,29633.0,5.487422943115234,20.809809923171994
Portugal,2019,1694.0,4879.319,23343.3628970034,1.39561998844147,6.464,PRT,2.68276,0.02373,14427.0,5.848782062530518,27.985650062561035
Romania,2019,1129.0,887.0736,12992.0326104674,0.476159989833832,3.912,ROU,3.85316,-0.52681,-955.0,3.595370054244995,30.0074610710144
Russia,2019,26535.0,2749.4854,11447.701171875,1.03531002998352,4.513,RUS,2.19808,0.03795,229944.0,,31.362740039825436
Serbia,2019,261.0,2087.2764,7755.632986437,0.886669993400574,10.395,SRB,4.33173,-0.53661,-2194.0,,28.354680061340332
Singapore,2019,7039.0,7275.6313,66081.7199235165,1.88473999500275,3.1,SGP,1.34506,1.14428,29697.0,,35.39629936218262
Slovakia,2019,479.0,3114.8628,19406.0589683582,0.822399973869324,5.761,SVK,2.51126,0.13533,-9389.0,5.005549907684326,21.82075023651123
Spain,2019,7453.0,3067.6611,29776.2011500384,1.25024998188019,14.104,ESP,1.98397,0.71772,34005.0,5.549891948699951,
Thailand,2019,1783.0,1749.9191,7605.69657797759,1.14316999912262,0.716,THA,2.11456,0.25269,,,
Turkey,2019,9290.0,1629.7324,9215.44049888114,1.31959998607635,13.73,TUR,0.81853,1.4297,107315.0,,18.36441028118134
Ukraine,2019,2399.0,880.55414,3619.86157226563,0.43384000658989,8.194,UKR,3.1995,-0.48466,-22217.0,,25.053269624710083
United States,2019,494488.0,4308.874,65604.6815198734,3.14703989028931,3.669,USA,2.46704,0.45538,874493.8125,6.705299854278564,19.233219623565674
Uruguay,2019,80.0,795.96423,18315.7352857194,0.568050026893616,8.836,URY,0.92857,0.03988,,,17.222760200500485
Uzbekistan,2019,431.0,421.4649,2041.38480729431,0.113059997558594,4.932,UZB,5.98156,1.87647,,,34.4768009185791
Argentina,2020,1215.0,1256.2672,8535.59938004389,0.541260004043579,11.461,ARG,-9.90048,0.97005,111594.0,,14.146290302276611
Austria,2020,10645.0,5829.8374,48716.4098900349,3.20278000831604,5.201,AUT,-6.63299,0.41518,51760.890625,6.185606002807617,30.574510574340817
