indicatorId,geoUnit,year,value,qualifier,magnitude
FOSGP.5T8.F500,BGD,2020,7.973480224609375,,
FOSGP.5T8.F500,BGR,2015,3.660830020904541,,
FOSGP.5T8.F500,BGR,2016,3.438050031661987,,
FOSGP.5T8.F500,BGR,2017,3.312170028686523,,
FOSGP.5T8.F500,BGR,2018,3.096549987792969,,
FOSGP.5T8.F500,BGR,2019,3.13811993598938,,
FOSGP.5T8.F500,BGR,2020,2.925250053405762,,
FOSGP.5T8.F500,BHR,2015,1.79229998588562,,
FOSGP.5T8.F500,BHR,2016,1.71110999584198,,
FOSGP.5T8.F500,BHR,2017,1.636950016021729,,
FOSGP.5T8.F500,BHR,2018,1.570680022239685,,
FOSGP.5T8.F500,BHR,2019,1.603299975395203,,
FOSGP.5T8.F500,BHR,2020,2.1285400390625,,
FOSGP.5T8.F500,BIH,2015,3.725290060043335,,
FOSGP.5T8.F500,BIH,2016,7.303339958190918,,
FOSGP.5T8.F500,BIH,2017,4.342659950256348,,
FOSGP.5T8.F500,BIH,2018,4.752419948577881,,
FOSGP.5T8.F500,BIH,2019,4.834080219268799,,
FOSGP.5T8.F500,BIH,2020,5.114180088043213,,
FOSGP.5T8.F500,BLR,2015,2.790149927139282,,
FOSGP.5T8.F500,BLR,2016,2.709280014038086,,
FOSGP.5T8.F500,BLR,2017,2.844520092010498,,
FOSGP.5T8.F500,BLR,2018,3.696280002593994,,
FOSGP.5T8.F500,BLR,2019,3.390949964523315,,
FOSGP.5T8.F500,BLR,2020,3.234899997711182,,
FOSGP.5T8.F500,BLZ,2015,12.47793006896973,,
FOSGP.5T8.F500,BLZ,2020,15.13623046875,,
FOSGP.5T8.F500,BMU,2015,3.508769989013672,,
FOSGP.5T8.F500,BMU,2017,4.379559993743896,,
FOSGP.5T8.F500,BMU,2018,9.154930114746094,,
FOSGP.5T8.F500,BRA,2015,2.632910013198853,,
FOSGP.5T8.F500,BRA,2016,2.672470092773438,,
FOSGP.5T8.F500,BRA,2017,2.831300020217896,,
FOSGP.5T8.F500,BRA,2018,1.972730040550232,,
FOSGP.5T8.F500,BRA,2019,2.234339952468872,,
FOSGP.5T8.F500,BRA,2020,1.636880040168762,,
FOSGP.5T8.F500,BRN,2015,6.53902006149292,,
FOSGP.5T8.F500,BRN,2018,10.52933025360107,,
FOSGP.5T8.F500,BRN,2019,8.411800384521484,,
FOSGP.5T8.F500,BRN,2020,9.141180038452148,,
FOSGP.5T8.F500,BWA,2020,2.778559923171997,,
